1;Nowy Świat;https://n05a-eu.rcs.revma.com/ypqt40u0x1zuv?trns=l3ac4%3Ftrns%3Db94k5&rj-tok=AAABh-Db7sEA_ILN8ZtIFNksQQ&rj-ttl=5
2;Radio 357;https://n24a-eu.rcs.revma.com/ye5kghkgcm0uv?rj-ttl=5&rj-tok=AAABh-D8wb4AwvBJYtCBnnd6Mg
3;Antyradio;https://an06.cdn.eurozet.pl/ant-web.mp3?t=1683367429522?redirected=06
4;Radio Pogoda;https://radiostream.pl/tuba38-1.mp3?cache=1683386990
